station,timeJ:,t090C:,t190C:,c0uS/cm:,c1uS/cm:,sal00:,sal11:,depSM:,density00:,fluroescence,sbeox0Mm/L:,sbeox0(%sat),v6:,upoly0:,latitude:,longitude:,prDM:,prDE:,flag:
C1,120.700088,13.0365,13.0108,1.09E+04,3.84E+04,8.7517,32.6561,1,1006.1383,2.50E-01,312.559,100.022,0,-6.7231244,36.78188,-121.93923,1.008,1.461,0
C1,120.700281,13.0254,13.0137,5.12E+04,3.98E+04,43.4487,33.79,2,1032.9015,3.25E-01,213.614,87.163,0,-4.2002382,36.78188,-121.93923,2.015,2.922,0
C1,120.700352,13.0539,13.0151,3.61E+04,3.93E+04,30.3956,33.4065,3,1022.8321,3.42E-01,234.943,86.331,0,-5.4869179,36.78188,-121.93923,3.022,4.384,0
C1,120.700378,13.0774,13.0137,3.28E+04,3.68E+04,27.2618,31.1208,4,1020.4117,4.03E-01,239.748,86.423,0,-5.5295829,36.78188,-121.93923,4.03,5.845,0
C1,120.70173,12.9973,13.0077,4.15E+04,3.58E+04,35.4265,30.2522,5,1026.7426,1.11E+00,338.133,127.539,0,-5.6921873,36.78188,-121.93923,5.037,7.306,0
C1,120.702779,12.9956,12.9989,3.96E+04,4.01E+04,33.7314,34.1336,6,1025.4378,1.09E+00,323.142,121.056,0,-5.8354185,36.78188,-121.93923,6.045,8.767,0
C1,120.702528,12.9946,12.9943,3.94E+04,3.93E+04,33.4697,33.4555,7,1025.2401,1.22E+00,319.552,119.554,0,-5.8334009,36.78188,-121.93923,7.052,10.228,0
C1,120.702561,12.9836,12.9859,3.93E+04,3.93E+04,33.4715,33.4569,8,1025.2482,1.30E+00,319.345,119.451,0,-6.2475605,36.78188,-121.93923,8.06,11.69,0
C1,120.702587,12.9798,12.9793,3.93E+04,3.93E+04,33.4723,33.4582,9,1025.2541,1.35E+00,319.022,119.321,0,-6.3044388,36.78188,-121.93923,9.067,13.151,0
C1,120.702615,12.9728,12.9734,3.93E+04,3.93E+04,33.4747,33.46,10,1025.2619,1.33E+00,318.387,119.068,0,-6.0266445,36.78188,-121.93923,10.074,14.612,0
C1,120.702649,12.9333,12.9356,3.93E+04,3.93E+04,33.4882,33.473,11,1025.2847,1.36E+00,318.067,118.862,0,-6.2450444,36.78188,-121.93923,11.082,16.073,0
C1,120.702666,12.7188,12.7297,3.92E+04,3.91E+04,33.5243,33.4987,12,1025.3592,1.30E+00,316.884,117.922,0,-6.2399051,36.78188,-121.93923,12.09,17.534,0
C1,120.7027,12.3689,12.4289,3.88E+04,3.89E+04,33.5233,33.5085,13,1025.4306,1.27E+00,288.349,106.53,0,-5.2936403,36.78188,-121.93923,13.097,18.996,0
C1,120.702728,11.7642,11.7968,3.83E+04,3.83E+04,33.5465,33.5238,14,1025.568,1.29E+00,261.837,95.525,0,-5.3987622,36.78188,-121.93923,14.105,20.457,0
C1,120.702758,11.6427,11.6597,3.82E+04,3.82E+04,33.542,33.5262,15,1025.5915,1.40E+00,224.791,81.796,0,-3.8950999,36.78188,-121.93923,15.112,21.918,0
C1,120.702783,11.2758,11.3001,3.78E+04,3.78E+04,33.5199,33.5039,16,1025.646,1.38E+00,221.34,79.91,0,0.530816,36.78188,-121.93923,16.119,23.379,0
C1,120.702823,10.9896,11.0009,3.75E+04,3.75E+04,33.5085,33.4959,17,1025.6934,7.36E-01,193.561,69.441,0,6.2415123,36.78188,-121.93923,17.127,24.841,0
C1,120.702837,10.9869,10.9856,3.75E+04,3.75E+04,33.5016,33.4897,18,1025.693,6.55E-01,193.426,69.392,0,5.4490949,36.78188,-121.93923,18.135,26.302,0
C1,120.702867,11.0283,11.0342,3.76E+04,3.76E+04,33.5023,33.4911,19,1025.6907,3.70E-01,189.986,68.219,0,8.6678986,36.78188,-121.93923,19.142,27.763,0
C1,120.7029,11.2289,11.2288,3.78E+04,3.78E+04,33.5727,33.5627,20,1025.7138,4.06E-01,190.929,68.882,0,9.6278695,36.78188,-121.93923,20.149,29.224,0
C1,120.702924,11.3255,11.3181,3.80E+04,3.79E+04,33.6052,33.5888,21,1025.7262,6.11E-01,203.717,73.662,0,9.550432,36.78188,-121.93923,21.157,30.686,0
C1,120.702957,11.2939,11.293,3.79E+04,3.79E+04,33.6187,33.6003,22,1025.747,1.52E+00,228.438,82.552,0,9.4745505,36.78188,-121.93923,22.165,32.147,0
C1,120.702977,11.2334,11.2338,3.79E+04,3.79E+04,33.6261,33.6117,23,1025.7683,1.48E+00,225.077,81.237,0,9.1322839,36.78188,-121.93923,23.172,33.609,0
C1,120.702998,11.2075,11.2076,3.79E+04,3.79E+04,33.6297,33.6159,24,1025.7802,1.27E+00,220.693,79.612,0,9.0467777,36.78188,-121.93923,24.18,35.07,0
C1,120.703034,11.2281,11.2251,3.79E+04,3.79E+04,33.624,33.6115,25,1025.7767,1.55E+00,214.738,77.496,0,8.9322759,36.78188,-121.93923,25.187,36.532,0
C1,120.703055,11.1961,11.1959,3.79E+04,3.79E+04,33.6393,33.6257,26,1025.7989,1.17E+00,214.789,77.469,0,9.1189955,36.78188,-121.93923,26.195,37.992,0
C1,120.703081,11.1447,11.1529,3.78E+04,3.78E+04,33.6654,33.6471,27,1025.833,1.07E+00,210.651,75.906,0,9.1187972,36.78188,-121.93923,27.202,39.454,0
C1,120.703101,11.1319,11.1332,3.79E+04,3.78E+04,33.6807,33.666,28,1025.8518,8.77E-01,211.001,76.018,0,9.6733723,36.78188,-121.93923,28.21,40.915,0
C1,120.703151,11.1395,11.139,3.79E+04,3.78E+04,33.6711,33.6566,29,1025.8475,5.80E-01,213.374,76.881,0,11.29992,36.78188,-121.93923,29.218,42.377,0
C1,120.703161,11.0409,11.04,3.78E+04,3.78E+04,33.6872,33.6748,30,1025.8824,5.63E-01,213.415,76.742,0,11.2061,36.78188,-121.93923,30.225,43.838,0
C1,120.703172,11.0199,11.0189,3.78E+04,3.77E+04,33.6882,33.6752,31,1025.8915,5.93E-01,212.719,76.458,0,11.38606,36.78188,-121.93923,31.233,45.299,0
C1,120.703213,11.039,11.0417,3.78E+04,3.78E+04,33.6869,33.6725,32,1025.8915,7.10E-01,206.971,74.422,0,12.702644,36.78188,-121.93923,32.24,46.761,0
C1,120.703239,10.9978,11.0037,3.77E+04,3.77E+04,33.6897,33.6763,33,1025.9057,4.83E-01,208.509,74.91,0,12.556718,36.78188,-121.93923,33.248,48.222,0
C1,120.703257,11.037,11.0346,3.78E+04,3.78E+04,33.7037,33.6881,34,1025.9141,5.10E-01,208.693,75.045,0,12.639132,36.78188,-121.93923,34.256,49.683,0
C1,120.703286,11.0744,11.0696,3.78E+04,3.78E+04,33.7269,33.71,35,1025.9299,8.05E-01,218.27,78.564,0,12.332772,36.78188,-121.93923,35.263,51.145,0
C1,120.703314,11.0665,11.0675,3.79E+04,3.78E+04,33.7465,33.7228,36,1025.9512,6.94E-01,220.338,79.304,0,12.426296,36.78188,-121.93923,36.271,52.606,0
C1,120.703344,10.8817,10.9013,3.77E+04,3.77E+04,33.7398,33.7245,37,1025.9836,6.21E-01,227.933,81.713,0,12.411305,36.78188,-121.93923,37.278,54.068,0
C1,120.703363,10.779,10.7806,3.76E+04,3.76E+04,33.7314,33.7178,38,1025.9999,6.50E-01,218.701,78.226,0,12.317221,36.78188,-121.93923,38.286,55.529,0
C1,120.703386,10.7576,10.7568,3.76E+04,3.75E+04,33.7281,33.7144,39,1026.0057,1.09E+00,203.024,72.583,0,13.037187,36.78188,-121.93923,39.294,56.991,0
C1,120.703424,10.7471,10.7413,3.75E+04,3.75E+04,33.7263,33.7126,40,1026.0107,7.88E-01,195.668,69.937,0,13.745393,36.78188,-121.93923,40.301,58.452,0
C1,120.703436,10.7255,10.7245,3.75E+04,3.75E+04,33.7252,33.7116,41,1026.0182,9.81E-01,198.844,71.038,0,13.645038,36.78188,-121.93923,41.309,59.913,0
C1,120.703458,10.718,10.7176,3.75E+04,3.75E+04,33.7245,33.7109,42,1026.0235,8.47E-01,196.321,70.126,0,14.51365,36.78188,-121.93923,42.316,61.375,0
C1,120.703483,10.7088,10.708,3.75E+04,3.75E+04,33.7243,33.7105,43,1026.0295,6.74E-01,194.884,69.598,0,14.713352,36.78188,-121.93923,43.324,62.836,0
